tweet,favorites,retweets,user,date,hour
"Naucte se data tridit, idealne zbytecne tvorbe predchazejte, nebo budete zit hlavne svuj metazivot. #DataConf14 http://t.co/mLh5h5iuYc",3,0,PetrTwo,22/11/2014,11
"Dnešek je plný akcí: #devfestcz v Praze, #DataConf14 v Brně a #barcampcz v Ostravě.",6,4,zdrojak,22/11/2014,11
"#dataconf14 třídit a vyhazovat, at se z toho nezblaznite...",1,0,PavelLasak,22/11/2014,11
Poznamka k Jakub Mráček a standardum na standardy: http://t.co/IP81jDRnNc #DataConf14 hint: Najedte mysi na obrazek pro zobrazeni titulku.,3,0,Martix_cz,22/11/2014,11
“Sme zahltení veľkým množstvom zlých a zbytočných dát.” @jakubmracek na #DataConf14. Odkazuje: Mažte! Trieďte! Premýšľajte!,2,0,davidtvrdon,22/11/2014,11
"RT @vojtano_k: Jakub Mracek: Nejucinejsi forma cenzury neni odepreni informaci, ale zahlceni velkou spoustou informaci. #dataconf14",0,1,jukben,22/11/2014,11
"""budte v klidu a vyhazujte (data)"" #dataconf14",2,0,edison23net,22/11/2014,11
#dataconf14 Jasně nejmladší účastník. #littledata rocks. http://t.co/ZwrulCgNEy,1,1,RadimHampel,22/11/2014,11
"Škoda, že je zároveň #DevFestCZ #barcampcz i #DataConf14.
Příště by to chtělo domluvit, aby se nepřekrývali,
protože mají podobné téma...",3,0,MarekLecian,22/11/2014,11
"RT @PetrTwo: ""Big data = data, ktera uz nezvladate zpracovavat."" #DataConf14 http://t.co/DXk63k8LD1",0,3,zdrojak,22/11/2014,11
"RT @durnovaeva: Víte, k čemu jste u registrace na #dataconf14 dostali ty modré hlasovací lístky? Ne? Tak teď už to víte :) http://t.co/48Lk…",0,4,zdrojak,22/11/2014,11
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,zdrojak,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,PavlinaAmalie,22/11/2014,11
"Jakub Mracek: Nejucinejsi forma cenzury neni odepreni informaci, ale zahlceni velkou spoustou informaci. #dataconf14",6,1,vojtano_k,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,vitvolsicka,22/11/2014,11
RT @paveljasek: Kniha 'Think Stats: Pravděpodobnost a statistika pro programátory' v českém překladu a zdarma: http://t.co/jehFliiNPJ #Data…,0,12,hassmanm,22/11/2014,11
"prvni uspech, kdyz data vubec na internetu jsou #dataconf14",2,0,edison23net,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,Martix_cz,22/11/2014,11
"""Více dat neznamená lepší porozumění. (...) Je opravdu potřeba zaznamenávat každou sekundu místo 1x za 10min?"" #DataConf14",3,0,vitvolsicka,22/11/2014,11
Nádherná IT konvergence v podání @jakubmracek :) #DataConf14 http://t.co/0Cdes8RbKS,5,0,VojtaRocek,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,ycdmdj,22/11/2014,11
RT @RadimHampel: #dataconf14 Počet tvítu roste! #goodcafe http://t.co/mf0Q8BdmFD,0,1,lubosbednar,22/11/2014,11
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,NewtonMediaCZ,22/11/2014,11
Pravi informacni moderatori v akci:) #DataConf14 http://t.co/gutFbEGSuD,4,0,iVerNen,22/11/2014,11
